code,name,street,zip,city,country,website,logo_url,sortOrder
0001,1. Dampfbierbrauerei Zwiesel,Regenerstraße 9,D-94227,Zwiesel,Deutschland,http://www.dampfbier.de,,10
0002,A Zwack Unicum Nyrt.,Soroksári út 26.,HU-1095,Budapest,Ungarn,http://www.zwackunicum.hu,,10
0003,A. Dohrn & A. Timm GmbH & Co. KG,Birkholzer Straße 1,D-15831,Diedersdorf,Deutschland,http://www.dohrn-und-timm.de,,10
0004,A.& S. Klein GmbH & Co. KG,Grinzinger Allee 16,A-1190,Wien,Österreich,http://www.almdudler.com,,10
0005,Aalener Löwenbräu,Galgenbergstraße 8,D-73431,Aalen,Deutschland,http://www.aalener.com,,10
0006,Abbaye Notre Dame de Leffe,Place de l'Abbaye 1,BES-5500,Dinant,Belgien,http://www.abbaye-de-leffe.be,,10
0007,Abdij Onze Lieve Vrouw van Koningshoeven,Eindhovenseweg 3,NL-5056,RP Berkel-Enschot,Niederlande,http://www.koningshoeven.nl,,10
0008,Abt Castus GmbH,Ovelgönne 4,D-49429,Visbek,Deutschland,,,10
0009,Abtshof Magdeburg GmbH,Brauereistraße 2,D-39104,Magdeburg,Deutschland,http://www.abtshof.de,,10
0010,ACHT GRAD plus GmbH,Ten-Brink-Straße 14,D-78269,Volkertshausen,Deutschland,http://www.achtgradplus.de,,10
0011,Adelholzener Alpenquellen GmbH,St.-Primus-Straße 1-5,D-83313,Siegsdorf,Deutschland,http://www.adelholzener.de,,10
0012,Adlerbrauerei Herbert Werner,Hoffenheimer Straße 1,D-74939,Zuzenhausen,Deutschland,,,10
0013,ADM WILD Europe GmbH & Co. KG,Rudolf-Wild-Straße 107-115,D-69214,Heidelberg/Eppelheim,Deutschland,http://www.wildflavors.com,,10
0014,Affentaler Winzergenosssenschaft e.G.,Widenmayerstraße 18,D-80538,München,Deutschland,http://www.wirwinzer.deweinregionen,,10
0015,Aktienbrauerei Kaufbeuren AG,Hohe Buchleuthe 3,D-87600,Kaufbeuren,Deutschland,http://www.aktienbrauerei.de,,10
0016,Alaska Getränke GmbH & Co. KG,Marktpl. 6,D-86441,Zusmarshausen,Deutschland,http://www.alaska.de,,10
0017,Albert Mayer Mayer Fruchtsäfte,Uhlbacher Straße 196,D-70329,Stuttgart,Deutschland,http://www.mayersaft.de,,10
0018,Albi GmbH & Co.,Ulmer Straße 15,D-89180,Berghülen-Bühlenhausen,Deutschland,http://www.albi.de,,10
0019,Alde Gott Winzer Schwarzwald eG / Alde Gott Edelbrände Schwarzwald eG,Talstraße 2,D-77887,Sasbachwalden,Deutschland,http://www.aldegott.de,,10
0020,Alfred Schladerer Alte Schwarzwälder Hausbrennerei GmbH,Alfred-Schladerer-Platz 1,D-79219,Staufen,Deutschland,http://www.schladerer.de,,10
0021,allfra Regionalmarkt Franken GmbH,Schulstraße 19,D-91749,Wittelshofen,Deutschland,http://www.hesselberger.com,,10
0022,Allgäuer Alpenwasser GmbH,Salzstraße 52,D-87534,Oberstaufen,Deutschland,http://www.allgaeuer-alpenwasser.de,,10
0023,Allgäuer Brauhaus AG,Beethovenstraße 7,D-87435,Kempten,Deutschland,http://www.allgaeuer-brauhaus.de,,10
0024,Alpirsbacher Klosterbräu Glauner GmbH & Co. KG,Marktplatz 1,D-72275,Alpirsbach,Deutschland,http://www.alpirsbacher.de,,10
0025,Alte Hausbrennerei Penninger GmbH,Industriestraße 18,D-94051,Hauzenberg,Deutschland,http://www.penninger.de,,10
